Year;Week;Ending;Age;NoDeaths_EP;Expected;LowerB;UpperB;Diff
2020;           1;05.01.2020;0-64    ;         149;         173;         139;         207;           .
2020;           2;12.01.2020;0-64    ;         166;         172;         138;         206;           .
2020;           3;19.01.2020;0-64    ;         186;         172;         138;         206;           .
2020;           4;26.01.2020;0-64    ;         177;         172;         138;         205;           .
2020;           5;02.02.2020;0-64    ;         163;         171;         137;         205;           .
2020;           6;09.02.2020;0-64    ;         187;         171;         137;         204;           .
2020;           7;16.02.2020;0-64    ;         165;         170;         137;         204;           .
2020;           8;23.02.2020;0-64    ;         185;         170;         136;         204;           .
2020;           9;01.03.2020;0-64    ;         171;         170;         136;         203;           .
2020;          10;08.03.2020;0-64    ;         166;         169;         135;         202;           .
2020;          11;15.03.2020;0-64    ;         153;         168;         135;         201;           .
2020;          12;22.03.2020;0-64    ;         179;         167;         134;         200;           .
2020;          13;29.03.2020;0-64    ;         198;         166;         132;         199;           .
2020;          14;05.04.2020;0-64    ;         184;         165;         131;         198;           .
2020;          15;12.04.2020;0-64    ;         178;         163;         130;         196;           .
2020;          16;19.04.2020;0-64    ;         184;         162;         129;         195;           .
2020;          17;26.04.2020;0-64    ;         190;         161;         128;         194;           .
2020;          18;03.05.2020;0-64    ;         129;         160;         127;         193;           .
2020;          19;10.05.2020;0-64    ;         168;         159;         127;         192;           .
2020;          20;17.05.2020;0-64    ;         177;         158;         126;         191;           .
2020;          21;24.05.2020;0-64    ;         156;         157;         125;         190;           .
2020;          22;31.05.2020;0-64    ;         162;         157;         125;         189;           .
2020;          23;07.06.2020;0-64    ;         153;         157;         125;         189;           .
2020;          24;14.06.2020;0-64    ;         154;         157;         125;         189;           .
2020;          25;21.06.2020;0-64    ;         164;         157;         124;         189;           .
2020;          26;28.06.2020;0-64    ;         171;         157;         124;         189;           .
2020;          27;05.07.2020;0-64    ;         163;         157;         124;         189;           .
2020;          28;12.07.2020;0-64    ;         155;         157;         124;         189;           .
2020;          29;19.07.2020;0-64    ;         142;         157;         124;         189;           .
2020;          30;26.07.2020;0-64    ;         162;         156;         124;         188;           .
2020;          31;02.08.2020;0-64    ;         186;         156;         124;         188;           .
2020;          32;09.08.2020;0-64    ;         159;         156;         123;         188;           .
2020;          33;16.08.2020;0-64    ;         163;         155;         123;         187;           .
2020;          34;23.08.2020;0-64    ;         148;         155;         123;         187;           .
2020;          35;30.08.2020;0-64    ;         149;         155;         123;         188;           .
2020;          36;06.09.2020;0-64    ;         162;         156;         124;         188;           .
2020;          37;13.09.2020;0-64    ;         161;         156;         124;         188;           .
2020;          38;20.09.2020;0-64    ;         133;         156;         124;         189;           .
2020;          39;27.09.2020;0-64    ;         181;         157;         125;         189;           .
2020;          40;04.10.2020;0-64    ;         158;         157;         125;         190;           .
2020;          41;11.10.2020;0-64    ;         188;         158;         125;         190;           .
2020;          42;18.10.2020;0-64    ;         133;         158;         126;         190;           .
2020;          43;25.10.2020;0-64    ;         184;         158;         126;         191;           .
2020;          44;01.11.2020;0-64    ;         162;         158;         126;         191;           .
2020;          45;08.11.2020;0-64    ;         191;         159;         126;         191;           .
2020;          46;15.11.2020;0-64    ;         185;         159;         126;         191;           .
2020;          47;22.11.2020;0-64    ;         162;         159;         127;         192;           .
2020;          48;29.11.2020;0-64    ;         165;         160;         127;         192;           .
2020;          49;06.12.2020;0-64    ;         183;         160;         128;         193;           .
2020;          50;13.12.2020;0-64    ;         212;         161;         128;         193;          51
2020;          51;20.12.2020;0-64    ;         174;         161;         128;         194;           .
2020;          52;27.12.2020;0-64    ;         157;         162;         129;         194;           .
2020;          53;03.01.2021;0-64    ;         185;         162;         129;         195;           .
2021;           1;10.01.2021;0-64    ;         173;         173;         139;         207;           .
2021;           2;17.01.2021;0-64    ;         201;         172;         138;         206;           .
2021;           3;24.01.2021;0-64    ;         177;         172;         138;         206;           .
2021;           4;31.01.2021;0-64    ;         179;         172;         138;         205;           .
2021;           5;07.02.2021;0-64    ;         165;         171;         137;         205;           .
2021;           6;14.02.2021;0-64    ;         180;         171;         137;         204;           .
2021;           7;21.02.2021;0-64    ;         142;         170;         137;         204;           .
2021;           8;28.02.2021;0-64    ;       158.2;         170;         136;         204;           .
2021;           9;07.03.2021;0-64    ;       160.4;         170;         136;         203;           .
2021;          10;14.03.2021;0-64    ;       151.2;         169;         135;         202;           .
2021;          11;21.03.2021;0-64    ;       150.8;         168;         135;         201;           .
2021;          12;28.03.2021;0-64    ;       155.2;         167;         134;         200;           .
2021;          13;04.04.2021;0-64    ;           .;         166;         132;         199;           .
2021;          14;11.04.2021;0-64    ;           .;         165;         131;         198;           .
2021;          15;18.04.2021;0-64    ;           .;         163;         130;         196;           .
2021;          16;25.04.2021;0-64    ;           .;         162;         129;         195;           .
2021;          17;02.05.2021;0-64    ;           .;         161;         128;         194;           .
2021;          18;09.05.2021;0-64    ;           .;         160;         127;         193;           .
2021;          19;16.05.2021;0-64    ;           .;         159;         127;         192;           .
2021;          20;23.05.2021;0-64    ;           .;         158;         126;         191;           .
2021;          21;30.05.2021;0-64    ;           .;         157;         125;         190;           .
2021;          22;06.06.2021;0-64    ;           .;         157;         125;         189;           .
2021;          23;13.06.2021;0-64    ;           .;         157;         125;         189;           .
2021;          24;20.06.2021;0-64    ;           .;         157;         125;         189;           .
2021;          25;27.06.2021;0-64    ;           .;         157;         124;         189;           .
2021;          26;04.07.2021;0-64    ;           .;         157;         124;         189;           .
2021;          27;11.07.2021;0-64    ;           .;         157;         124;         189;           .
2021;          28;18.07.2021;0-64    ;           .;         157;         124;         189;           .
2021;          29;25.07.2021;0-64    ;           .;         157;         124;         189;           .
2021;          30;01.08.2021;0-64    ;           .;         156;         124;         188;           .
2021;          31;08.08.2021;0-64    ;           .;         156;         124;         188;           .
2021;          32;15.08.2021;0-64    ;           .;         156;         123;         188;           .
2021;          33;22.08.2021;0-64    ;           .;         155;         123;         187;           .
2021;          34;29.08.2021;0-64    ;           .;         155;         123;         187;           .
2021;          35;05.09.2021;0-64    ;           .;         155;         123;         188;           .
2021;          36;12.09.2021;0-64    ;           .;         156;         124;         188;           .
2021;          37;19.09.2021;0-64    ;           .;         156;         124;         188;           .
2021;          38;26.09.2021;0-64    ;           .;         156;         124;         189;           .
2021;          39;03.10.2021;0-64    ;           .;         157;         125;         189;           .
2021;          40;10.10.2021;0-64    ;           .;         157;         125;         190;           .
2021;          41;17.10.2021;0-64    ;           .;         158;         125;         190;           .
2021;          42;24.10.2021;0-64    ;           .;         158;         126;         190;           .
2021;          43;31.10.2021;0-64    ;           .;         158;         126;         191;           .
2021;          44;07.11.2021;0-64    ;           .;         158;         126;         191;           .
2021;          45;14.11.2021;0-64    ;           .;         159;         126;         191;           .
2021;          46;21.11.2021;0-64    ;           .;         159;         126;         191;           .
2021;          47;28.11.2021;0-64    ;           .;         159;         127;         192;           .
2021;          48;05.12.2021;0-64    ;           .;         160;         127;         192;           .
2021;          49;12.12.2021;0-64    ;           .;         160;         128;         193;           .
2021;          50;19.12.2021;0-64    ;           .;         161;         128;         193;           .
2021;          51;26.12.2021;0-64    ;           .;         161;         128;         194;           .
2021;          52;02.01.2022;0-64    ;           .;         115;          88;         143;           .
2020;           1;05.01.2020;65+     ;        1157;        1252;        1161;        1343;           .
2020;           2;12.01.2020;65+     ;        1187;        1257;        1166;        1348;           .
2020;           3;19.01.2020;65+     ;        1212;        1262;        1171;        1354;           .
2020;           4;26.01.2020;65+     ;        1224;        1267;        1176;        1359;           .
2020;           5;02.02.2020;65+     ;        1250;        1272;        1180;        1364;           .
2020;           6;09.02.2020;65+     ;        1189;        1277;        1185;        1369;           .
2020;           7;16.02.2020;65+     ;        1207;        1279;        1187;        1371;           .
2020;           8;23.02.2020;65+     ;        1174;        1271;        1179;        1363;           .
2020;           9;01.03.2020;65+     ;        1162;        1263;        1172;        1355;           .
2020;          10;08.03.2020;65+     ;        1181;        1243;        1153;        1334;           .
2020;          11;15.03.2020;65+     ;        1234;        1224;        1134;        1314;           .
2020;          12;22.03.2020;65+     ;        1338;        1199;        1110;        1289;         139
2020;          13;29.03.2020;65+     ;        1417;        1175;        1086;        1263;         242
2020;          14;05.04.2020;65+     ;        1687;        1153;        1065;        1240;         534
2020;          15;12.04.2020;65+     ;        1461;        1133;        1046;        1219;         328
2020;          16;19.04.2020;65+     ;        1378;        1112;        1026;        1198;         266
2020;          17;26.04.2020;65+     ;        1175;        1095;        1010;        1180;           .
2020;          18;03.05.2020;65+     ;        1112;        1078;         994;        1163;           .
2020;          19;10.05.2020;65+     ;        1004;        1065;         981;        1149;           .
2020;          20;17.05.2020;65+     ;         970;        1052;         969;        1136;           .
2020;          21;24.05.2020;65+     ;        1030;        1042;         959;        1126;           .
2020;          22;31.05.2020;65+     ;         934;        1039;         956;        1122;           .
2020;          23;07.06.2020;65+     ;        1011;        1035;         952;        1118;           .
2020;          24;14.06.2020;65+     ;         992;        1033;         950;        1115;           .
2020;          25;21.06.2020;65+     ;         980;        1035;         952;        1117;           .
2020;          26;28.06.2020;65+     ;         998;        1036;         953;        1119;           .
2020;          27;05.07.2020;65+     ;        1000;        1039;         956;        1122;           .
2020;          28;12.07.2020;65+     ;         998;        1039;         956;        1122;           .
2020;          29;19.07.2020;65+     ;         961;        1039;         956;        1122;           .
2020;          30;26.07.2020;65+     ;         978;        1038;         955;        1121;           .
2020;          31;02.08.2020;65+     ;        1072;        1037;         954;        1120;           .
2020;          32;09.08.2020;65+     ;         991;        1036;         953;        1119;           .
2020;          33;16.08.2020;65+     ;        1055;        1035;         952;        1118;           .
2020;          34;23.08.2020;65+     ;        1058;        1036;         953;        1119;           .
2020;          35;30.08.2020;65+     ;        1017;        1042;         959;        1126;           .
2020;          36;06.09.2020;65+     ;         995;        1048;         965;        1132;           .
2020;          37;13.09.2020;65+     ;        1088;        1056;         973;        1140;           .
2020;          38;20.09.2020;65+     ;        1101;        1067;         982;        1151;           .
2020;          39;27.09.2020;65+     ;        1058;        1077;         992;        1161;           .
2020;          40;04.10.2020;65+     ;        1071;        1087;        1002;        1172;           .
2020;          41;11.10.2020;65+     ;        1130;        1097;        1011;        1182;           .
2020;          42;18.10.2020;65+     ;        1136;        1107;        1021;        1192;           .
2020;          43;25.10.2020;65+     ;        1296;        1115;        1029;        1201;         181
2020;          44;01.11.2020;65+     ;        1512;        1124;        1037;        1210;         388
2020;          45;08.11.2020;65+     ;        1865;        1136;        1049;        1223;         729
2020;          46;15.11.2020;65+     ;        1931;        1148;        1061;        1235;         783
2020;          47;22.11.2020;65+     ;        1969;        1161;        1073;        1248;         808
2020;          48;29.11.2020;65+     ;        1934;        1172;        1084;        1261;         762
2020;          49;06.12.2020;65+     ;        1962;        1184;        1096;        1273;         778
2020;          50;13.12.2020;65+     ;        1974;        1194;        1105;        1283;         780
2020;          51;20.12.2020;65+     ;        1989;        1203;        1114;        1292;         786
2020;          52;27.12.2020;65+     ;        1908;        1212;        1122;        1302;         696
2020;          53;03.01.2021;65+     ;        1760;        1221;        1131;        1311;         539
2021;           1;10.01.2021;65+     ;        1693;        1252;        1161;        1343;         441
2021;           2;17.01.2021;65+     ;        1558;        1257;        1166;        1348;         301
2021;           3;24.01.2021;65+     ;        1549;        1262;        1171;        1354;         287
2021;           4;31.01.2021;65+     ;        1397;        1267;        1176;        1359;         130
2021;           5;07.02.2021;65+     ;        1234;        1272;        1180;        1364;           .
2021;           6;14.02.2021;65+     ;        1192;        1277;        1185;        1369;           .
2021;           7;21.02.2021;65+     ;        1121;        1279;        1187;        1371;           .
2021;           8;28.02.2021;65+     ;      1117.4;        1271;        1179;        1363;           .
2021;           9;07.03.2021;65+     ;      1084.8;        1263;        1172;        1355;           .
2021;          10;14.03.2021;65+     ;      1098.1;        1243;        1153;        1334;           .
2021;          11;21.03.2021;65+     ;       971.6;        1224;        1134;        1314;           .
2021;          12;28.03.2021;65+     ;       999.2;        1199;        1110;        1289;           .
2021;          13;04.04.2021;65+     ;           .;        1175;        1086;        1263;           .
2021;          14;11.04.2021;65+     ;           .;        1153;        1065;        1240;           .
2021;          15;18.04.2021;65+     ;           .;        1133;        1046;        1219;           .
2021;          16;25.04.2021;65+     ;           .;        1112;        1026;        1198;           .
2021;          17;02.05.2021;65+     ;           .;        1095;        1010;        1180;           .
2021;          18;09.05.2021;65+     ;           .;        1078;         994;        1163;           .
2021;          19;16.05.2021;65+     ;           .;        1065;         981;        1149;           .
2021;          20;23.05.2021;65+     ;           .;        1052;         969;        1136;           .
2021;          21;30.05.2021;65+     ;           .;        1042;         959;        1126;           .
2021;          22;06.06.2021;65+     ;           .;        1039;         956;        1122;           .
2021;          23;13.06.2021;65+     ;           .;        1035;         952;        1118;           .
2021;          24;20.06.2021;65+     ;           .;        1033;         950;        1115;           .
2021;          25;27.06.2021;65+     ;           .;        1035;         952;        1117;           .
2021;          26;04.07.2021;65+     ;           .;        1036;         953;        1119;           .
2021;          27;11.07.2021;65+     ;           .;        1039;         956;        1122;           .
2021;          28;18.07.2021;65+     ;           .;        1039;         956;        1122;           .
2021;          29;25.07.2021;65+     ;           .;        1039;         956;        1122;           .
2021;          30;01.08.2021;65+     ;           .;        1038;         955;        1121;           .
2021;          31;08.08.2021;65+     ;           .;        1037;         954;        1120;           .
2021;          32;15.08.2021;65+     ;           .;        1036;         953;        1119;           .
2021;          33;22.08.2021;65+     ;           .;        1035;         952;        1118;           .
2021;          34;29.08.2021;65+     ;           .;        1036;         953;        1119;           .
2021;          35;05.09.2021;65+     ;           .;        1042;         959;        1126;           .
2021;          36;12.09.2021;65+     ;           .;        1048;         965;        1132;           .
2021;          37;19.09.2021;65+     ;           .;        1056;         973;        1140;           .
2021;          38;26.09.2021;65+     ;           .;        1067;         982;        1151;           .
2021;          39;03.10.2021;65+     ;           .;        1077;         992;        1161;           .
2021;          40;10.10.2021;65+     ;           .;        1087;        1002;        1172;           .
2021;          41;17.10.2021;65+     ;           .;        1097;        1011;        1182;           .
2021;          42;24.10.2021;65+     ;           .;        1107;        1021;        1192;           .
2021;          43;31.10.2021;65+     ;           .;        1115;        1029;        1201;           .
2021;          44;07.11.2021;65+     ;           .;        1124;        1037;        1210;           .
2021;          45;14.11.2021;65+     ;           .;        1136;        1049;        1223;           .
2021;          46;21.11.2021;65+     ;           .;        1148;        1061;        1235;           .
2021;          47;28.11.2021;65+     ;           .;        1161;        1073;        1248;           .
2021;          48;05.12.2021;65+     ;           .;        1172;        1084;        1261;           .
2021;          49;12.12.2021;65+     ;           .;        1184;        1096;        1273;           .
2021;          50;19.12.2021;65+     ;           .;        1194;        1105;        1283;           .
2021;          51;26.12.2021;65+     ;           .;        1203;        1114;        1292;           .
2021;          52;02.01.2022;65+     ;           .;         866;         790;         942;           .
#
# Year: Year of the calendar week according to ISO 8601
# Week: Calendar week according to ISO 8601
# Ending: Last day of the week (Sunday)
# Age: Age in completed years
# NoDeaths_EP: Number of deaths in Switzerland of persons residing in Switzerland with extrapolation for the last 40 days
# Expected: Number of deaths expected this week compared to the same week in previous years
# LowerB: Lower limit of the expected range at 99% of the expected value
# UpperB: Upper limit of the expected range at 99% of the expected value
# Diff: Weeks when the number of deaths exceeds the upper limit of the expected range, the difference between the observed minus the expected number is shown
#
